iter	Passed	Remaining
539	32696	15742
540	32752	15680
541	32806	15616
542	32868	15556
543	32939	15500
544	32988	15434
545	33040	15370
546	33109	15314
547	33166	15251
548	33225	15190
549	33297	15135
550	33352	15072
551	33411	15011
552	33465	14947
553	33513	14881
554	33582	14824
555	33647	14766
556	33731	14715
557	33801	14659
558	33851	14594
559	33902	14529
560	33947	14462
561	33993	14395
562	34040	14329
563	34081	14261
564	34128	14195
565	34170	14126
566	34211	14058
567	34252	13990
568	34297	13924
569	34383	13873
570	34483	13829
571	34569	13779
572	34639	13722
573	34696	13660
574	34745	13595
575	34792	13530
576	34838	13464
577	34890	13400
578	34937	13335
579	34985	13270
580	35033	13205
581	35076	13138
582	35119	13071
583	35171	13008
584	35286	12968
585	35369	12916
586	35444	12861
587	35513	12804
588	35567	12741
589	35616	12676
590	35658	12610
591	35705	12545
592	35760	12483
593	35813	12420
594	35867	12357
595	35927	12297
596	35982	12235
597	36048	12176
598	36114	12118
599	36190	12063
600	36263	12007
601	36340	11952
602	36411	11895
603	36472	11835
604	36555	11782
605	36655	11734
606	36728	11678
607	36783	11615
608	36847	11556
609	36918	11499
610	36985	11440
611	37043	11379
612	37111	11320
613	37170	11260
614	37224	11197
615	37286	11137
616	37370	11083
617	37444	11027
618	37595	10993
619	37680	10939
620	37761	10884
621	37824	10824
622	37890	10765
623	37953	10704
624	38019	10645
625	38085	10586
626	38177	10533
627	38232	10471
628	38287	10408
629	38346	10347
630	38417	10289
631	38480	10228
632	38548	10170
633	38613	10110
634	38663	10046
635	38714	9982
636	38760	9918
637	38803	9853
638	38861	9791
639	38909	9727
640	38955	9662
641	39001	9598
642	39048	9534
643	39101	9471
644	39148	9407
645	39198	9344
646	39249	9281
647	39293	9217
648	39349	9155
649	39393	9090
650	39444	9028
651	39496	8965
652	39561	8905
653	39616	8844
654	39684	8785
655	39743	8724
656	39800	8662
657	39851	8600
658	39901	8537
659	39948	8474
660	40012	8414
661	40067	8352
662	40115	8289
663	40166	8226
664	40216	8164
665	40275	8103
666	40341	8044
667	40393	7981
668	40453	7921
669	40512	7860
670	40577	7801
671	40630	7739
672	40688	7678
673	40745	7617
674	40809	7557
675	40859	7494
676	40906	7432
677	40958	7370
678	41015	7309
679	41070	7247
680	41119	7185
681	41179	7124
682	41237	7064
683	41317	7007
684	41382	6947
685	41433	6885
686	41483	6823
687	41530	6760
688	41596	6701
689	41652	6640
690	41706	6578
691	41751	6516
692	41793	6453
693	41838	6390
694	41880	6327
695	41922	6264
696	41966	6201
697	42010	6139
698	42054	6076
699	42099	6014
700	42145	5952
701	42191	5890
702	42238	5828
703	42286	5766
704	42333	5704
705	42375	5642
706	42419	5579
707	42463	5517
708	42510	5456
709	42559	5394
710	42612	5334
711	42666	5273
712	42717	5212
713	42759	5150
714	42803	5088
715	42850	5027
716	42900	4966
717	42945	4904
718	42991	4843
719	43036	4781
720	43087	4721
721	43138	4660
722	43187	4599
723	43233	4538
724	43286	4477
725	43370	4420
726	43474	4365
727	43524	4304
728	43580	4244
729	43632	4183
730	43693	4124
731	43743	4063
732	43796	4003
733	43843	3942
734	43911	3883
735	43964	3822
736	44038	3764
737	44098	3704
738	44168	3645
739	44238	3586
740	44303	3527
741	44360	3467
742	44413	3407
743	44469	3347
744	44512	3286
745	44566	3226
746	44620	3165
747	44675	3105
748	44718	3044
749	44774	2984
750	44833	2925
751	44891	2865
752	44943	2805
753	44996	2745
754	45065	2686
755	45118	2625
756	45182	2566
757	45239	2506
758	45288	2446
759	45343	2386
760	45398	2326
761	45456	2266
762	45516	2207
763	45567	2147
764	45616	2087
765	45660	2026
766	45717	1966
767	45771	1907
768	45818	1847
769	45867	1787
770	45910	1726
771	45957	1666
772	46012	1607
773	46057	1547
774	46104	1487
775	46151	1427
776	46197	1367
777	46248	1307
778	46298	1248
779	46343	1188
780	46386	1128
781	46430	1068
782	46482	1009
783	46532	949
784	46575	889
785	46620	830
786	46675	771
787	46718	711
788	46761	651
789	46809	592
790	46854	533
791	46901	473
792	46946	414
793	46995	355
794	47046	295
795	47101	236
796	47148	177
797	47192	118
798	47235	59
799	47288	0
